t,T,edge,bal,ela
1607.0,0.3095540166340722,10750.0,13439092.607569277,903.8183465439183
1608.0,2.1758751759364836,10750.0,-9336086.69006231,1191.1456399675353
1609.0,0.7706887641906865,10750.0,7809947.808113274,975.0641683470608
1610.0,0.2465155210014185,10800.0,14115005.493016915,894.5162718928727
1611.0,1.472853686022649,10800.0,-868861.6484728837,1086.8663931808846
1612.0,1.8849269898848986,10800.0,-5897881.872962334,1147.4917744669376
1613.0,1.0327789846777868,10800.0,4522220.618771451,1014.78142070326
1614.0,2.644487432789548,10800.0,-15171347.567893658,1264.6485689113986
1615.0,0.12915331166520172,10800.0,15571847.732566763,875.6954776236942
1616.0,1.9645012880528565,10850.0,-6982579.429562878,1160.3292180193912
1617.0,0.9615604328820613,10850.0,5297066.874841521,1007.5636485359903
1618.0,0.6070122070354733,10850.0,9638835.520853713,950.9563691697022
1619.0,2.4338036537797283,10850.0,-12718697.277752038,1231.8243792803273
1620.0,1.9941202781812937,10850.0,-7332496.914746119,1164.8080084424764
1621.0,2.283360742685759,10850.0,-10874206.574354934,1206.2217749514996
1622.0,2.769265135860497,10850.0,-16827795.322838217,1281.9451350593317
1623.0,0.8753724423408702,10850.0,6344227.735753562,991.6991105695408
1624.0,1.0071466588524922,10900.0,4612190.579408198,1012.0894175658133
1625.0,1.2725608835594073,10900.0,1347204.8883661116,1053.7708330251164
1626.0,0.5826457432403038,10900.0,9797647.502792303,946.0488880617173
1627.0,2.340147229819867,10900.0,-11755644.830372361,1215.032870597522
1628.0,1.3849124918648599,10900.0,-48119.265326498076,1074.5121982462538
1629.0,1.0400808565962318,10900.0,4173362.770608631,1012.0659761462159
1630.0,0.6926940104444208,10900.0,8427420.118827945,962.6327784256523
1631.0,1.9922070770335392,10900.0,-7507516.756779407,1164.160323149742
1632.0,1.5058364922231426,10900.0,-1545445.3243954787,1084.6681998398135
1633.0,1.7005492678683707,10950.0,-4054767.237825131,1116.4691876551847
1634.0,1.2095926328237567,10950.0,1970191.5305011347,1043.0961186869968
1635.0,3.028676620198798,10950.0,-20372985.759365696,1322.8215779789114
1636.0,0.6115671877881068,10950.0,9301832.066899415,949.9955588988979
1637.0,1.611384928077447,10950.0,-2986276.070800123,1105.9558681128838
1638.0,2.569055449694707,10950.0,-14754787.155666504,1252.2679553560533
1639.0,1.9068784021893697,10950.0,-6633972.709010877,1150.2800303910858
1640.0,1.244565247244707,10950.0,1484724.124298863,1051.6554831037504
1641.0,1.057789781708765,10950.0,3763435.6904590614,1021.9562365919556
1642.0,2.1526391802804765,10950.0,-9694228.37674485,1187.9652790263838
1643.0,1.1479365268958022,10950.0,2631343.1077976506,1029.7856544781466
1644.0,1.1639464392116903,10950.0,2421997.598393144,1029.9179642497138
1645.0,1.5188019813638602,10950.0,-1946196.8906668425,1093.9311594374165
1646.0,1.1162610169853044,10950.0,2988008.2673289776,1029.978859923548
1647.0,1.029552809549262,10950.0,4045008.521294499,1009.4685326671375
1648.0,1.012737788377561,10950.0,4246196.947792602,1009.7258841927384
1649.0,2.044929543903664,10950.0,-8431964.165746056,1172.5623274711809
1650.0,0.8884541529790759,10950.0,5767072.110692523,994.2674459194635
1651.0,-0.10018208700724296,10950.0,17904678.100976832,842.203401857497
1652.0,1.0633731092155676,10950.0,3618386.744004051,1023.4348512510759
1653.0,1.7951786723308274,10950.0,-5360477.4836836085,1136.2573706179248
1654.0,1.1342388264558378,10950.0,2763512.837591145,1031.6210961521028
1655.0,0.5692401451663973,10950.0,9708028.58887818,944.2744185714685
1656.0,1.4168272089284883,10950.0,-692234.0433313968,1074.9720874337388
1657.0,0.8279542487309515,10950.0,6549097.9663550975,986.5385188549884
1658.0,1.2450341420795814,10950.0,1437571.2163143335,1054.3098603502315
1659.0,0.8897940550308405,10950.0,5811241.185265605,997.3864585045372
1660.0,1.442949297279589,10950.0,-969805.5269220155,1075.6978793492297
1661.0,1.3388194675245062,10950.0,320784.6889041504,1064.7268126576125
1662.0,1.0402106839864764,10950.0,3998199.4902094407,1013.0694551279395
1663.0,1.4123667331243537,10950.0,-561822.7734157247,1075.9038756028467
1664.0,1.7878878314951647,10950.0,-5163484.084196364,1130.3189763875525
1665.0,0.7435903532870469,10950.0,7668152.048800055,973.7118273869543
1666.0,0.9421269432636139,10950.0,5236890.266274141,1006.7097450297726
1667.0,0.7854578744603282,10950.0,7169775.329578148,977.8464411011863
1668.0,0.719742060444446,10950.0,7987838.726211454,968.6221749194182
1669.0,0.09860585970157265,10950.0,15629237.042121125,875.769347482825
1670.0,-0.3829016522050024,10950.0,21560419.4163865,803.0985964569401
1671.0,0.6368401998231228,10950.0,9063587.129365366,959.175760846133
1672.0,3.5381244138701904,10950.0,-26533131.823759206,1404.1531966649413
1673.0,0.8815165842173558,10950.0,6115446.736337849,991.7294909617763
1674.0,0.8610617754817991,10950.0,6382790.975057957,992.0300178414227
1675.0,1.1935997811203727,10950.0,2315510.122336657,1036.9439403043243
1676.0,2.1027592766520273,10950.0,-8832768.11581375,1180.7458159323128
1677.0,2.487758007316817,10950.0,-13547597.650396597,1239.0610516876243
1678.0,0.8874081252086352,10950.0,6111127.007164413,991.3205200716748
1679.0,2.976355308734809,10950.0,-19538952.171729513,1317.3610637961292
1680.0,2.503031927172197,10950.0,-13727425.577133935,1243.7458170139712
1681.0,1.570578603131814,10950.0,-2285437.0231356416,1096.4617610280807
1682.0,1.5593141732401419,10950.0,-2159523.43994823,1096.3734454511255
1683.0,1.4313388178834234,10950.0,-600880.9624993363,1075.5326214502484
1684.0,2.099194270667134,10950.0,-8814930.88038506,1177.6494319565527
1685.0,1.6121247256992186,10950.0,-2847051.655938573,1106.8465536539468
1686.0,-0.4120069850640369,10950.0,21994940.022632338,790.9148064259904
1687.0,0.7489195726406961,10950.0,7728623.182698998,970.9270387162404
1688.0,0.10182623835278992,10950.0,15673112.223825177,876.2340191473087
1689.0,2.626190663202676,11000.0,-15459808.496462349,1259.690252579562
1690.0,0.9736348188641291,10950.0,4976612.552649958,1007.730007254528
1691.0,0.6445499842038602,11000.0,8921519.343292061,957.089223817441
1692.0,0.27670604034573687,11000.0,13450905.987745864,900.1633722765555
1693.0,1.0518419607968106,11000.0,3926737.173504876,1015.9107367305916
1694.0,0.9975097646601148,11000.0,4608485.0755834,1009.4267265631067
1695.0,0.47809232087848175,11000.0,11011737.99975407,929.8586111467877
1696.0,2.0762301586545426,11000.0,-8628084.436694723,1176.5443831536004
1697.0,0.6676480908650246,11000.0,8713002.712917324,961.555655746329
1698.0,0.1058811420795931,11050.0,15547926.122753225,878.3166128024554
1699.0,1.2071284722235003,11050.0,1999200.8661455885,1048.1203186653568
1700.0,1.5045922535420262,11050.0,-1644845.7197760548,1088.6422348625995
1701.0,0.6321613939187753,11050.0,9121435.652291166,957.282938025132
1702.0,1.642395398405915,11050.0,-3305862.797348067,1110.5410042656972
1703.0,0.41948989346928744,11100.0,11681729.755856488,923.2220516358936
1704.0,1.209895563367561,11100.0,1946146.994280641,1048.82210155168
1705.0,1.0733783705095945,11100.0,3648895.604302956,1018.8866185479166
1706.0,0.49584566908333993,11100.0,10792539.777094493,937.1152252637078
1707.0,2.2031552524829623,11100.0,-10254584.1903586,1196.8090780442562
1708.0,1.3163216880124757,11150.0,592281.8170678224,1058.9370663755903
1709.0,1.9881273408997595,11150.0,-7697574.77244334,1162.5480322935355
1710.0,1.5270279662805377,11150.0,-1990352.9798953664,1088.5687718031568
1711.0,2.7612359340070043,11150.0,-17237966.851124667,1281.1623444903464
1712.0,1.6517938564750958,11150.0,-3527567.4528252063,1109.1029127537352
1713.0,1.1972445466900181,11150.0,2083955.5664336523,1036.2335525592187
1714.0,0.3496412563373834,11200.0,12458499.162591565,910.2743590863495
1715.0,0.8590769963231333,11200.0,6149418.361753581,992.8833101539191
1716.0,1.3111936277150198,11200.0,554457.7533518951,1057.8845460238826
1717.0,2.1169296127107877,11200.0,-9415568.221452266,1184.7927528132311
1718.0,0.763234375487595,11200.0,7341247.916275934,974.5457925931873
1719.0,1.9743710039680247,11250.0,-7775323.4532554755,1161.3809800023944
1720.0,1.7309340015863945,11250.0,-4757487.21955567,1118.8320411302525
1721.0,1.289904459496669,11250.0,706956.1278624758,1056.746514174125
1722.0,1.1336076734045646,11250.0,2640458.799628971,1028.3274362979807
1723.0,2.293420971935559,11250.0,-11741309.923497334,1207.5633766330425
1724.0,0.3606153361250146,11250.0,12215159.30205199,914.2595239452853
1725.0,-0.28383842531001324,11300.0,20118097.335323818,817.8619352922069
1726.0,0.7389757958370566,11300.0,7420644.27803406,972.35423218596
1727.0,1.8092607838327313,11300.0,-5859294.291591912,1139.1269382203286
1728.0,1.5822073047535659,11300.0,-3030121.119823465,1098.6055540481595
1729.0,1.0845295118591913,11300.0,3156307.1906888466,1029.106374979421
1730.0,3.1505329152620893,11350.0,-22639718.45928943,1343.5042355959615
1731.0,1.3787212899555419,11350.0,-604347.9332174631,1065.995607745879
1732.0,1.3756404047473882,11350.0,-571455.5331810256,1065.9208396461786
1733.0,0.7310039147874092,11350.0,7439358.943683233,970.698468234195
1734.0,2.9494688117403944,11350.0,-20154333.311620995,1310.4061399282102
1735.0,1.631763291815039,11350.0,-3773481.103555643,1107.5278450480841
1736.0,1.6562869151561266,11350.0,-4089887.451374014,1107.3731417990432
1737.0,1.9731617060559925,11350.0,-8043350.1216141395,1159.2009166689897
1738.0,0.26733815073445477,11350.0,13156162.758212704,894.5792605696868
1739.0,1.6883232901968093,11400.0,-4648296.09269578,1117.391815106431
1740.0,0.7842016803063059,11400.0,6603803.601162884,978.3468191022178
1741.0,1.8007346700967108,11400.0,-6065664.556316941,1136.9255445248723
1742.0,0.7584151027843027,11400.0,6910633.302025865,975.0282770500963
1743.0,1.3276668160332514,11400.0,-185432.0066120131,1065.0421255487959
1744.0,2.4453254299563483,11400.0,-14110037.67584207,1230.6693850026786
1745.0,1.0729997248994945,11400.0,2977513.262327227,1025.4466466902977
1746.0,1.3627196394848946,11400.0,-639155.9524005046,1064.417202581677
1747.0,0.9971072087636674,11400.0,3907804.1453047516,1013.3340865869916
1748.0,1.3305314213737205,11400.0,-250912.82475890126,1064.5967855808217
1749.0,0.2210235797825506,11400.0,13564627.133621223,889.0611286168239
1750.0,1.6911131712956546,11450.0,-4867773.919015359,1117.8343170918793
1751.0,1.87684496316424,11400.0,-7058830.5574179925,1146.6637272489068
1752.0,0.6823176171282457,11400.0,7819170.024491019,962.1763302354351
1753.0,0.7203495434662668,11450.0,7243080.657755995,968.7151869488698
1754.0,1.6121590080173807,11450.0,-3879828.7514972724,1108.1086484317516
1755.0,1.2966761255269992,11450.0,59459.96574469097,1055.3818581662965
1756.0,1.7195626534272925,11450.0,-5213688.445504867,1117.7913132337178
1757.0,3.879200876045685,11450.0,-32154671.4075096,1454.1195702670043
1758.0,1.297534935075709,11450.0,44881.869328727014,1053.4539992998916
1759.0,0.4605315089089701,11450.0,10471993.762991592,926.1521782758482
1760.0,2.365342259960727,11450.0,-13303169.97761891,1219.7369369080404
1761.0,1.4733598434511235,11400.0,-2070764.7348803403,1084.2454694435673
1762.0,-0.14796766284887708,11400.0,18110443.884281546,835.0866660209832
1763.0,0.6846135418524497,11400.0,7730733.4311160045,963.2065140508901
1764.0,1.2307203229624841,11400.0,926345.2417277014,1044.4439366917723
1765.0,0.6279036621177512,11400.0,8435772.05148468,955.7239953082617
1766.0,0.27253549253069664,11400.0,12865608.44902311,899.0684285499813
1767.0,1.1504149177043717,11400.0,1939441.1128495978,1034.809422723378
1768.0,0.8221059582443528,11400.0,6040595.935570574,982.5745712180067
1769.0,2.3937901449784285,11400.0,-13522942.906406367,1227.315832972151
1770.0,1.2408489066609603,11400.0,847967.6536388947,1045.5009557290864
1771.0,1.3569761512446474,11400.0,-592735.4272963665,1065.6702222692795
1772.0,0.7100772049414861,11400.0,7469538.688129062,965.2050230102601
1773.0,1.7096133468810857,11400.0,-4974994.057709904,1118.5385558913795
1774.0,1.198245468633501,11400.0,1399977.4073663037,1045.7070955572635
1775.0,1.7314199139964295,11400.0,-5237086.3935390245,1118.3665052288459
1776.0,2.309551179084571,11400.0,-12435548.749915604,1212.2944802066636
1777.0,2.0329649453623135,11400.0,-8992293.31965549,1168.7650489243088
1778.0,-0.13313584133318734,11400.0,17981124.982546948,836.4229356758979
1779.0,1.8502107026543433,11400.0,-6728123.986007605,1137.5948497041743
1780.0,2.1049428537905763,11400.0,-9903017.37260986,1183.0901079039809
1781.0,1.0957859681386921,11400.0,2661603.7127532624,1025.824166932373
1782.0,-0.0893430769417276,11400.0,17416632.60986671,846.6536976926368
1783.0,0.9158885513658772,11400.0,4893885.6192817,999.9185430096732
1784.0,2.025521989446167,11400.0,-8923418.827816084,1169.756820146652
1785.0,2.236835187739177,11400.0,-11551942.948427789,1202.8092876862665
1786.0,0.7002701655009731,11400.0,7585785.161126146,964.5942023550526
1787.0,0.8729143271849562,11400.0,5432678.744072939,989.5563327757741
1788.0,1.0516764302983388,11400.0,3206325.8483881326,1014.801167658215
1789.0,1.1993090542613443,11400.0,1369920.9108134834,1045.7610695323356
1790.0,2.189344194522329,11400.0,-10958112.501644589,1193.8409043120907
1791.0,0.7201960249865933,11400.0,7342523.345515547,969.182581340044
1792.0,0.7961597874256432,11400.0,6396351.18660412,979.2190988400187
1793.0,0.7891566798299099,11400.0,6486546.54012093,979.6028887332719
1794.0,0.7881220139279086,11400.0,6505339.026745076,980.0199663530282
1795.0,0.7878004720556051,11400.0,6518052.783833581,980.4543570322724
1796.0,0.18881423707602707,11400.0,13990129.21355342,884.2011530472229
1797.0,0.8085575031253578,11400.0,6286064.671362119,984.6812616248061
1798.0,1.4020059782053247,11400.0,-1086605.9997165976,1078.8363685819413
1799.0,0.0011536892856387482,11400.0,16380930.8014789,862.8839903075486
1800.0,1.0558842643654902,11400.0,3263969.3396372553,1018.8329757511153
1801.0,1.3697448788121909,11400.0,-622031.0056300238,1068.9417309781277
1802.0,0.038839306612041824,11400.0,15977073.229472514,864.0628681258364
1803.0,1.8662710024859699,11400.0,-6762148.621171349,1150.46387295144
1804.0,0.5928125423565893,11400.0,9122463.804042595,949.9945538636991
1805.0,1.3812569376720827,11400.0,-677642.9252952244,1069.6657096698991
1806.0,2.019202580839453,11400.0,-8603602.367340308,1168.4605584784838
1807.0,1.3740639595015631,11400.0,-552438.0826889602,1069.0642102589086
1808.0,-0.1950803499447349,11400.0,19003311.29607906,831.0221280055302
1809.0,1.1202493621873586,11400.0,2633119.345141706,1032.3558437053514
1810.0,-0.07201765045227138,11400.0,17500683.78614003,843.739572109132
1811.0,1.948330956641982,11450.0,-7769731.396600274,1157.281120992342
1812.0,0.9065502157090002,11450.0,5247610.22117387,997.076196006916
1813.0,-0.015967841692238416,11450.0,16774071.577945681,854.366718382167
1814.0,0.9418673390342445,11450.0,4845646.177009381,1002.9741403306763
1815.0,-0.8103693774790295,11450.0,26729285.657230496,735.1661146389074
1816.0,2.481787163116361,11500.0,-14448161.16852631,1243.4832572615696
1817.0,1.6152592671773132,11500.0,-3591106.125811425,1102.52175300178
1818.0,0.4161275034541472,11500.0,11413555.256963592,921.0604674101189
1819.0,1.517077594087639,11500.0,-2322278.813918913,1092.1418446607975
1820.0,2.481411646995694,11500.0,-14351533.214746889,1242.2901517460282
1821.0,1.9981113462590923,11550.0,-8426319.401309304,1163.9610380345239
1822.0,0.2310011081237997,11550.0,13693324.543736145,890.1569836169708
1823.0,1.710790583734351,11550.0,-4820293.903396012,1122.1334164884847
1824.0,0.43006784924784824,11550.0,11212988.48081413,924.4445455222567
1825.0,1.4246547136939798,11600.0,-1342766.123378802,1081.5264638187416
1826.0,1.7900548226799762,11600.0,-5914405.497599335,1134.303356084979
1827.0,2.4783763614524865,11600.0,-14536076.769087963,1240.576429841976
1828.0,1.8155317157462791,11600.0,-6228119.772356372,1133.0829227704112
1829.0,0.35238053192772023,11600.0,12105135.68501933,911.1144503474856
1830.0,1.231354349026871,11650.0,971589.0294835288,1050.1632582092702
1831.0,0.8647391650836438,11650.0,5572148.935987425,989.5096527786781
1832.0,0.6690527223513585,11650.0,8028751.487339925,961.4263437013367
1833.0,2.1861020724691222,11700.0,-11142797.463324657,1194.1797041327827
1834.0,2.3849419878196416,11700.0,-13640060.979818009,1223.6601005230345
1835.0,0.04458790090955356,11700.0,15781232.278190434,866.7311391859627
1836.0,0.41884645424187283,11700.0,11072255.020035941,923.136168576139
1837.0,1.666278736474367,11750.0,-4729763.1561721,1111.3500389117748
1838.0,0.3517258437877939,11750.0,11827807.911585387,911.1565719535993
1839.0,1.4718492759492552,11750.0,-2271461.5796327703,1080.3621966228689
1840.0,2.0440200279940557,11750.0,-9468900.653867466,1171.858809763506
1841.0,0.9602563364837424,11800.0,4074791.6033827746,1005.9694052093006
1842.0,1.0250621700960316,11800.0,3259297.845901549,1013.867034853114
1843.0,2.1007803247012147,11800.0,-10304516.99060207,1180.911468296466
1844.0,2.0225074479732497,11800.0,-9316376.875578493,1166.9493923819696
1845.0,1.0627971194915293,11850.0,2673735.3231927734,1018.9908851868373
1846.0,0.5904893496585948,11850.0,8633705.796508893,947.7685893542928
1847.0,0.2397847949724743,11850.0,13060184.41623468,895.418873880287
1848.0,1.2847681924152479,11850.0,-137263.86614915356,1059.4569712345344
1849.0,0.5396363100072068,11900.0,9180323.021916777,942.1471080106484
1850.0,1.9295142360303457,11900.0,-8395389.165062603,1155.719779563628
1851.0,0.5322974363564246,11900.0,9287411.902291805,938.8735616812683
1852.0,1.627642280559484,11900.0,-4563229.611611681,1111.0742623066037
1853.0,1.6288071100603636,11900.0,-4571308.757336436,1110.7671442686476
1854.0,0.6808909969042252,11950.0,7321579.373660162,963.0434590648653
1855.0,0.5225572512635477,11950.0,9331058.979234762,938.9940649098633
1856.0,0.35803102092947325,11950.0,11422270.248822108,914.1928942667394
1857.0,0.8497740906492952,11950.0,5202865.0999343265,989.5992063287429
1858.0,1.0337857396851842,12000.0,2775898.3759111688,1014.9522154508072
1859.0,2.370039385881535,12000.0,-14165651.892621614,1224.9744875042445
1860.0,0.6718136397633492,12000.0,7395267.211479592,960.9352198358572
1861.0,1.0313627573534037,12000.0,2840074.6216601115,1014.5707555631377
1862.0,1.9821000040517323,12000.0,-9215995.445089323,1163.2179384221624
1863.0,1.662297200022448,12000.0,-5151754.176384119,1111.0383719916374
1864.0,2.551593295432574,12050.0,-16574600.535287235,1250.7054470155872
1865.0,1.6009292091360976,12050.0,-4496493.556952156,1099.0335262671156
1866.0,1.230993706551856,12050.0,195759.2139510624,1048.3106975248038
1867.0,2.9236521413590664,12050.0,-21326881.806734517,1304.5012897343158
1868.0,1.2303611372370984,12050.0,179542.8613042757,1047.1189495994881
1869.0,2.7519445647107217,12050.0,-19176498.85315116,1279.1693432860238
